zona,cadena,cine,direccion,pelicula,formato,horario,precio_general,precio_jubilado,precio_menor,url_pelicula
GBA Norte,Showcase,IMAX Showcase Norte,"Av. Ricardo Balbín 2550, Shopping Norcenter",Afterburn (Zona cero),IMAX Subtitulada,22:35,,,,https://cartelera.ar/pelicula/afterburn-zona-cero
GBA Norte,Showcase,IMAX Showcase Norte,"Av. Ricardo Balbín 2550, Shopping Norcenter",La Odisea,IMAX Subtitulada,12:00,,,,https://cartelera.ar/pelicula/la-odisea
GBA Norte,Showcase,IMAX Showcase Norte,"Av. Ricardo Balbín 2550, Shopping Norcenter",La Odisea,IMAX Subtitulada,15:25,,,,https://cartelera.ar/pelicula/la-odisea
GBA Norte,Showcase,IMAX Showcase Norte,"Av. Ricardo Balbín 2550, Shopping Norcenter",La Odisea,IMAX Subtitulada,19:00,,,,https://cartelera.ar/pelicula/la-odisea
CABA,Multiplex,Multiplex Lavalle,"Lavalle 780, CABA",Afterburn (Zona cero),2D Doblada,15:30,,,,https://multiplex.com.ar/peliculas/zona-cero/
CABA,Multiplex,Multiplex Lavalle,"Lavalle 780, CABA",Afterburn (Zona cero),2D Doblada,20:05,,,,https://multiplex.com.ar/peliculas/zona-cero/
CABA,Multiplex,Multiplex Lavalle,"Lavalle 780, CABA",Afterburn (Zona cero),2D Doblada,22:45,,,,https://multiplex.com.ar/peliculas/zona-cero/
CABA,Multiplex,Multiplex Lavalle,"Lavalle 780, CABA",Coyote vs. Acme,2D Doblada,13:40,,,,https://multiplex.com.ar/peliculas/coyote-vs-acme/
CABA,Multiplex,Multiplex Lavalle,"Lavalle 780, CABA",Coyote vs. Acme,2D Doblada,15:50,,,,https://multiplex.com.ar/peliculas/coyote-vs-acme/
CABA,Multiplex,Multiplex Lavalle,"Lavalle 780, CABA",Coyote vs. Acme,2D Doblada,18:00,,,,https://multiplex.com.ar/peliculas/coyote-vs-acme/
CABA,Multiplex,Multiplex Lavalle,"Lavalle 780, CABA",La constelación del perro,2D Doblada,20:15,,,,https://cartelera.ar/pelicula/la-constelacion-del-perro
CABA,Multiplex,Multiplex Lavalle,"Lavalle 780, CABA",La Guerra De Los Ultimos,2D Doblada,20:15,,,,https://multiplex.com.ar/peliculas/la-guerra-de-los-ultimos/
CABA,Multiplex,Multiplex Lavalle,"Lavalle 780, CABA",La noche del demonio: Están entre nosotros,2D Doblada,13:20,,,,https://multiplex.com.ar/peliculas/la-noche-del-demonio-estan-entre-nosotros/
CABA,Multiplex,Multiplex Lavalle,"Lavalle 780, CABA",La noche del demonio: Están entre nosotros,2D XTREMO Doblada,15:45,,,,https://multiplex.com.ar/peliculas/la-noche-del-demonio-estan-entre-nosotros/
CABA,Multiplex,Multiplex Lavalle,"Lavalle 780, CABA",La noche del demonio: Están entre nosotros,2D Doblada,17:55,,,,https://multiplex.com.ar/peliculas/la-noche-del-demonio-estan-entre-nosotros/
CABA,Multiplex,Multiplex Lavalle,"Lavalle 780, CABA",La noche del demonio: Están entre nosotros,2D XTREMO Doblada,20:40,,,,https://multiplex.com.ar/peliculas/la-noche-del-demonio-estan-entre-nosotros/
CABA,Multiplex,Multiplex Lavalle,"Lavalle 780, CABA",La noche del demonio: Están entre nosotros,2D XTREMO Doblada,22:50,,,,https://multiplex.com.ar/peliculas/la-noche-del-demonio-estan-entre-nosotros/
CABA,Multiplex,Multiplex Lavalle,"Lavalle 780, CABA",La Odisea,2D Doblada,22:05,,,,https://multiplex.com.ar/peliculas/la-odisea/
